schedule_id,po_number,item_original,item_code,match_source
237,PO-MRP002390,BR50 WIRE SWM-B Ø5.0 mm CARRER,BR50,code_token
238,PO-MRP002390,BR50 WIRE SWM-B Ø5.0 mm CARRER,BR50,code_token
239,PO-MRP002390,BR50 WIRE SWM-B Ø5.0 mm CARRER,BR50,code_token
240,PO-MRP002390,BR60 WIRE SWM-B Ø6.0 mm CARRER,BR60,code_token
241,PO-MRP002390,BR60 WIRE SWM-B Ø6.0 mm CARRER,BR60,code_token
242,PO-MRP002390,BR60 WIRE SWM-B Ø6.0 mm CARRER,BR60,code_token
243,PO-MRP002390,BR70 WIRE SWM-B Ø7.0 mm CARRER,BR70,code_token
244,PO-MRP002390,BR10 WIRE SWM-B Ø10.0 mm CARRER,BR10,code_token
245,PO-MRP002391,BR50 WIRE SWM-B Ø5.0 mm CARRER,BR50,code_token
246,PO-MRP002391,BR60 WIRE SWM-B Ø6.0 mm CARRER,BR60,code_token
247,PO-MRP002385,SR20 WIRE SWB Ø2.0 mm CARRER,SR20,code_token
248,PO-MRP002385,"SR40 WIRE SWB Ø4,0 mm CARRER",SR40,code_token
249,PO-MRP002385,CR38 WIRE SWC Ø3.8 mm CARRER,CR38,code_token
250,PO-MRP002385,CR38 WIRE SWC Ø3.8 mm CARRER,CR38,code_token
251,PO-MRP002385,SR38 WIRE SWB Ø3.8 mm CARRER,SR38,code_token
252,PO-MRP002385,SR38 WIRE SWB Ø3.8 mm CARRER,SR38,code_token
253,PO-MRP002385,SR45 WIRE SWB Ø4.5 mm CARRER,SR45,code_token
254,PO-MRP002385,SR45 WIRE SWB Ø4.5 mm CARRER,SR45,code_token
255,PO-MRP002385,SR60 WIRE SWB Ø6.0 mm CARRER,SR60,code_token
256,PO-MRP002385,SR60 WIRE SWB Ø6.0 mm CARRER,SR60,code_token
257,PO-MRP002385,SR65 WIRE SWB Ø6.5 mm CARRER,SR65,code_token
258,PO-MRP002385,SR50 WIRE SWB Ø5.0 mm CARER,SR50,code_token
259,PO-MRP002385,SR23 WIRE SWB Ø2.3 mm CARRER,SR23,code_token
260,PO-MRP002386,SL32 WIRE SWB Ø3.2 mm COIL,SL32,code_token
261,PO-MRP002386,SL38 WIRE SWB Ø3.8 mm COIL,SL38,code_token
262,PO-MRP002386,SL40 WIRE SWB Ø4.0 mm COIL,SL40,code_token
263,PO-MRP002386,SL45 WIRE SWB Ø4.5 mm COIL,SL45,code_token
264,PO-MRP002388,SB1 SGD400 Ø8 x 183 mm,SB1,code_token
265,PO-MRP002388,SB5 SGD400 Ø8 x 239.5 mm,SB5,code_token
266,PO-MRP002388,SB9 SGD400 Ø9 x 431.8 mm,SB9,code_token
267,PO-MRP002388,"SB6 SGD400 Ø9 x 271,6 mm",SB6,code_token
268,PO-MRP002407,B61 STKM-370G D25.4 X 1.6 X 569.5,B61,code_token
269,PO-MRP002407,B61 STKM-370G D25.4 X 1.6 X 569.5,B61,code_token
270,PO-MRP002407,B73 STKM-370G D25.4 X 1.2 X 607.5,B73,code_token
271,PO-MRP002407,B73 STKM-370G D25.4 X 1.2 X 607.5,B73,code_token
272,PO-MRP002407,B73 STKM-370G D25.4 X 1.2 X 607.5,B73,code_token
273,PO-MRP002407,C13 STKM-370G D22.2 X 1.6 X 757,C13,code_token
274,PO-MRP002407,C13 STKM-370G D22.2 X 1.6 X 757,C13,code_token
275,PO-MRP002407,C13 STKM-370G D22.2 X 1.6 X 757,C13,code_token
276,PO-MRP002407,"C69 STKM-370G D25,4 X 1,6 X 681",C69,code_token
