type,schedule_id,po_number,item_code,needed_qty,po_line_id,reason,increment_qty,remaining_qty
schedule,620,IST2701-150115-2MR,PB8,,,no_po_line,,
schedule,621,IST2701-150115-2MR,STKM-13AC 25.4 x 1.40 x 456.6,,,no_po_line,,
schedule,622,IST2701-150115-2MR,SP4,,,no_po_line,,
schedule,623,IST2601-150115-2MR,STKM-550 28.6 X 1.20 X 1497,,,no_po_line,,
schedule,624,IST2601-150115-2MR,R40,,,no_po_line,,
schedule,625,IST3201-150115-2BT,R25,,,no_po_line,,
schedule,626,IST3201-150115-2BT,R26,,,no_po_line,,
schedule,627,IST2601-150116-2MR,C75,,,no_po_line,,
schedule,628,IST2701-150115-2MR,STKM-13AC 19.1 X 1.6 X 438.0,,,no_po_line,,
schedule,629,IST2701-150115-2MR,STKM-13AC 19.1 X 2.3 X 996.0,,,no_po_line,,
schedule,630,IST2701-150115-2MR,STKM-11AC 22.2 X 1.2 X 1225.0,,,no_po_line,,
schedule,631,IST2701-150116-2MR,BK2,,,no_po_line,,
schedule,632,IST2701-150116-2MR,BK8,,,no_po_line,,
schedule,633,IST2701-150116-2MR,BK10,,,no_po_line,,
schedule,634,IST2701-150116-2MR,BK4,,,no_po_line,,
schedule,635,IST2701-150116-2MR,BK5,,,no_po_line,,
schedule,636,IST2601-150115-2MR,DY17,,,no_po_line,,
schedule,637,IST2601-150116-2MR,C87,,,no_po_line,,
schedule,638,IST2601-150116-2MR,B57,,,no_po_line,,
schedule,639,IST2601-150116-2MR,C31,,,no_po_line,,
schedule,640,IST3201-150115-2BT,C72,,,no_po_line,,
schedule,641,IST3201-150115-2BT,STKM-470 Ø14 X 1.35 X 776,,,no_po_line,,
schedule,642,IST2601-150116-2MR,M43,,,no_po_line,,
schedule,643,IST2601-150116-2MR,VT3,,,no_po_line,,
schedule,644,IST3201-150115-2BT,5X7,,,no_po_line,,
schedule,645,IST2601-150115-2MR,STKM-370 25.4 x 1.4 x 973,,,no_po_line,,
schedule,646,IST2701-150115-2MR,STKM-11AC 12.0 x 0.8 x 900.0,,,no_po_line,,
schedule,647,IST3201-150115-2BT,B14,,,no_po_line,,
schedule,648,IST3201-150115-2BT,B16,,,no_po_line,,
schedule,649,IST3201-150115-2BT,B13,,,no_po_line,,
schedule,650,IST2701-150115-2MR,SP8,,,no_po_line,,
schedule,651,IST2701-150115-2MR,SP5,,,no_po_line,,
schedule,652,IST2701-150115-2MR,HP8,,,no_po_line,,
schedule,653,IST2701-150115-2MR,FP9,,,no_po_line,,
schedule,654,IST3201-150115-2BT,STKM-650 Ø12 x 1.50 x 1034.0,,,no_po_line,,
schedule,655,IST2601-150116-2MR,B69,,,no_po_line,,
schedule,656,IST2601-150115-2MR,AJ7,,,no_po_line,,
schedule,657,IST2601-150115-2MR,AJ8,,,no_po_line,,
schedule,658,IST2701-150116-2MR,BK3,,,no_po_line,,
schedule,659,IST2701-150116-2MR,BK1,,,no_po_line,,
schedule,660,IST2701-150116-2MR,BK0,,,no_po_line,,
schedule,661,IST2601-150115-2MR,STKM 470 12.0 X 2.0 X 597,,,no_po_line,,
schedule,662,IST2901-150115-2MR,VD03,,,no_po_line,,
schedule,663,IST2901-150115-2MR,VD43,,,no_po_line,,
schedule,664,IST2901-150115-2MR,VE87,,,no_po_line,,
schedule,665,IST2901-150115-2MR,VG66,,,no_po_line,,
schedule,718,IST3402-150100-2MR,VA65,,,no_po_line,,
schedule,719,IST3402-150100-2MR,VG62,,,no_po_line,,
schedule,134,PO-MRP002301,BR45,,,no_po_line,,
schedule,136,PO-MRP002301,BR50,,,no_po_line,,
schedule,138,PO-MRP002301,BR60,,,no_po_line,,
schedule,142,PO-MRP002301,BR70,,,no_po_line,,
schedule,152,PO-MRP002283,CR38,,,no_po_line,,
schedule,154,PO-MRP002283,SR38,,,no_po_line,,
